MtrunA17CPg0492181	NAD(P)H-quinone oxidoreductase subunit 5
MtrunA17Chr8g0370951	Putative triacylglycerol lipase
MtrunA17Chr8g0370961	Putative triacylglycerol lipase
MtrunA17Chr8g0370971	Putative triacylglycerol lipase
MtrunA17Chr8g0370981	Putative triacylglycerol lipase
MtrunA17Chr8g0370991	Putative oligomeric Golgi complex subunit 8, cullin repeat-like-containing
MtrunA17Chr8g0371021	hypothetical protein
MtrunA17Chr8g0371031	Putative F-box domain-containing protein
MtrunA17Chr8g0371071	hypothetical protein
MtrunA17Chr8g0371091	hypothetical protein
MtrunA17Chr8g0371101	Putative F-box domain-containing protein
MtrunA17Chr8g0371111	Putative Transposase-associated domain-containing protein
MtrunA17Chr8g0371121	hypothetical protein
MtrunA17Chr8g0371131	Putative IQ motif, EF-hand binding, P-loop containing nucleoside triphosphate hydrolase
MtrunA17Chr8g0371161	Putative ammonium/urea transporter
MtrunA17Chr8g0371171	Putative blood group Rhesus C/E/D polypeptide, ammonium/urea transporter
MtrunA17Chr8g0371181	hypothetical protein
MtrunA17Chr8g0371191	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr8g0371201	Putative nucleotide-binding alpha-beta plait domain-containing protein
MtrunA17Chr8g0371211	hypothetical protein
MtrunA17Chr8g0371221	Putative procollagen-proline dioxygenase
MtrunA17Chr8g0371231	Putative procollagen-proline dioxygenase
MtrunA17Chr8g0371241	Putative procollagen-proline dioxygenase
MtrunA17Chr8g0371251	Putative procollagen-proline dioxygenase
MtrunA17Chr8g0371261	hypothetical protein
MtrunA17Chr8g0371271	hypothetical protein
MtrunA17Chr8g0371281	Putative procollagen-proline dioxygenase
MtrunA17Chr8g0371291	Putative transcription factor C2H2 family
MtrunA17Chr8g0371301	hypothetical protein
MtrunA17Chr8g0371311	Putative transferase, protein kinase RLK-Pelle-LRR-I-1 family
MtrunA17Chr8g0371321	Putative protein-serine/threonine phosphatase
MtrunA17Chr8g0371331	Putative calcium-dependent channel, 7TM region phosphate
MtrunA17Chr8g0371351	Putative nepenthesin
MtrunA17Chr8g0371361	Putative adenosinetriphosphatase
MtrunA17Chr8g0371371	Putative nepenthesin
MtrunA17Chr8g0371381	Putative peroxidase
MtrunA17Chr8g0371391	Putative rossmann-like alpha/beta/alpha sandwich protein
MtrunA17Chr8g0371401	Putative winged helix-turn-helix DNA-binding domain-containing protein
MtrunA17Chr8g0371411	Putative transcription factor bZIP family
MtrunA17Chr8g0371421	Putative polyamine-modulated factor 1/Kinetochore protein NNF1
MtrunA17Chr8g0371431	Putative PLAC8 motif-containing protein
MtrunA17Chr8g0371441	hypothetical protein
MtrunA17Chr8g0371451	Putative F-box domain-containing protein
MtrunA17Chr8g0371461	hypothetical protein
MtrunA17Chr8g0371471	Putative triacylglycerol lipase
MtrunA17Chr8g0371481	Putative triacylglycerol lipase
MtrunA17Chr8g0371491	Putative triacylglycerol lipase
MtrunA17Chr8g0371501	Putative small GTPase superfamily, P-loop containing nucleoside triphosphate hydrolase
MtrunA17Chr8g0371511	Putative checkpoint protein Rad17/Rad24
MtrunA17Chr8g0371521	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr8g0371531	Putative xenobiotic-transporting ATPase
MtrunA17Chr8g0371541	hypothetical protein
MtrunA17Chr8g0371551	hypothetical protein
MtrunA17Chr8g0371561	Putative peptidase M20
MtrunA17Chr8g0371571	Proteasome subunit alpha type-7
MtrunA17Chr8g0371581	Putative alpha-mannosidase
MtrunA17Chr8g0371601	Putative histidine kinase response regulator and transcription factor RR-A-type family
MtrunA17Chr8g0371611	Putative senescence/spartin-associated
MtrunA17Chr8g0371621	Putative senescence/spartin-associated
MtrunA17Chr8g0371661	putative 26S proteasome regulatory complex, non-ATPase subcomplex, subunit s5a
MtrunA17Chr8g0371671	Putative eukaryotic rRNA processing
MtrunA17Chr8g0371681	Putative thiosulfate sulfurtransferase
MtrunA17Chr8g0371691	Putative 16S rRNA (cytosine(967)-C(5))-methyltransferase
MtrunA17Chr8g0371701	Putative multisite-specific tRNA:(cytosine-C(5))-methyltransferase
MtrunA17Chr8g0371711	Putative TIR domain, P-loop containing nucleoside triphosphate hydrolase
MtrunA17Chr8g0371721	Putative S-adenosyl-L-methionine-dependent methyltransferase
MtrunA17Chr8g0371731	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr8g0371741	Putative 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)
MtrunA17Chr8g0371751	Putative calmodulin-lysine N-methyltransferase
MtrunA17Chr8g0371761	Putative valine N-monooxygenase
MtrunA17Chr8g0371771	Putative thaumatin
MtrunA17Chr8g0371781	Putative thaumatin
MtrunA17Chr8g0371801	Putative transcription factor interactor and regulator CCHC(Zn) family
MtrunA17Chr8g0371811	hypothetical protein
MtrunA17Chr8g0371821	Putative shikimate O-hydroxycinnamoyltransferase
MtrunA17Chr8g0371831	hypothetical protein
MtrunA17Chr8g0371841	Putative transposase (putative), gypsy type
MtrunA17Chr8g0371851	Putative shikimate O-hydroxycinnamoyltransferase
MtrunA17Chr8g0371861	Putative Late nodulin
MtrunA17Chr8g0371871	hypothetical protein
MtrunA17Chr8g0371881	hypothetical protein
MtrunA17Chr8g0371891	Putative DnaJ domain-containing protein
MtrunA17Chr8g0371901	Putative mediator complex, subunit Med4
MtrunA17Chr8g0371911	Putative DNA-(apurinic or apyrimidinic site) lyase
MtrunA17Chr8g0371921	Putative flavanone 3-dioxygenase
MtrunA17Chr8g0371931	Putative flavanone 3-dioxygenase
MtrunA17Chr8g0371941	Putative gibberellin regulated protein
MtrunA17Chr8g0371951	Putative BURP domain-containing protein
MtrunA17Chr8g0371961	Putative xenobiotic-transporting ATPase
MtrunA17Chr8g0371981	hypothetical protein
MtrunA17Chr8g0371991	Putative Zinc finger, RanBP2-type
MtrunA17Chr8g0372001	hypothetical protein
MtrunA17Chr8g0372011	hypothetical protein
MtrunA17Chr8g0372021	Putative defensin, plant
MtrunA17Chr8g0372031	Putative cellulase
MtrunA17Chr8g0372041	Putative leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr8g0372051	hypothetical protein
MtrunA17Chr8g0372061	Putative small auxin-up RNA
MtrunA17Chr8g0372071	Putative peptide-methionine (S)-S-oxide reductase
MtrunA17Chr8g0372081	Putative peptidylprolyl isomerase
MtrunA17Chr8g0372101	Putative transcription factor C3H family
MtrunA17Chr8g0372111	Putative nucleotide-binding alpha-beta plait domain-containing protein
MtrunA17Chr8g0372121	Putative transcription factor NAM family
MtrunA17Chr8g0372131	V-type proton ATPase 16 kDa proteolipid subunit
MtrunA17Chr8g0372141	Putative glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase
MtrunA17Chr8g0372151	hypothetical protein
MtrunA17Chr8g0372161	hypothetical protein
MtrunA17Chr8g0372171	Putative plus-end-directed kinesin ATPase
MtrunA17Chr8g0372181	Putative NPK1-activating kinesin-like protein
MtrunA17Chr8g0372191	Putative prolyl oligopeptidase
MtrunA17Chr8g0372201	Putative lysosomal Pro-Xaa carboxypeptidase
MtrunA17Chr8g0372221	Putative protein CHAPERONE-LIKE PROTEIN OF POR1
MtrunA17Chr8g0372231	Putative alpha/Beta hydrolase
MtrunA17Chr8g0372241	Putative Coiled-coil domain-containing protein
MtrunA17Chr8g0372251	Putative cytochrome P450
MtrunA17Chr8g0372261	hypothetical protein
MtrunA17Chr8g0372271	hypothetical protein
MtrunA17Chr8g0372281	hypothetical protein
MtrunA17Chr8g0372291	Putative transcription factor C2C2-GATA family
MtrunA17Chr8g0372311	Putative leucine-rich repeat-containing, plant-type, leucine-rich repeat domain, L
MtrunA17Chr8g0372321	Putative leucine-rich repeat-containing, plant-type, leucine-rich repeat domain, L
MtrunA17Chr8g0372331	Putative oxidoreductase
MtrunA17Chr8g0372341	Putative oxidoreductase
MtrunA17Chr8g0372351	Putative leucine-rich repeat-containing, plant-type, leucine-rich repeat domain, L
MtrunA17Chr8g0372361	Putative leucine-rich repeat-containing, plant-type, leucine-rich repeat domain, L
MtrunA17Chr8g0372371	Putative transcription factor interactor and regulator FHA-SMAD family
MtrunA17Chr8g0372381	Putative aldehyde dehydrogenase (NAD(+))
MtrunA17Chr8g0372391	Putative aminoacyltransferase, E1 ubiquitin-activating enzyme
MtrunA17Chr8g0372401	hypothetical protein
MtrunA17Chr8g0372411	Putative 3-epi-6-deoxocathasterone 23-monooxygenase
MtrunA17Chr8g0372421	Putative beta-galactosidase
MtrunA17Chr8g0372431	Putative transcription factor B3-Domain family
MtrunA17Chr8g0372441	Putative histidine kinase-like ATPase domain-containing protein
MtrunA17Chr8g0372451	hypothetical protein
MtrunA17Chr8g0372461	Putative transcription factor STY-LRP1 family
MtrunA17Chr8g0372471	Putative acting on peptide bonds (peptidase)
MtrunA17Chr8g0372481	Putative oxidoreductase-like protein
MtrunA17Chr8g0372491	Putative soluble epoxide hydrolase
MtrunA17Chr8g0372511	Putative mitochondrial carrier domain-containing protein
MtrunA17Chr8g0372521	Putative mitochondrial carrier domain-containing protein
MtrunA17Chr8g0372531	Putative mitochondrial carrier protein
MtrunA17Chr8g0372541	hypothetical protein
MtrunA17Chr8g0372551	Putative SecY/SEC61-alpha family protein
MtrunA17Chr8g0372561	Putative ribosomal protein L7/L12
MtrunA17Chr8g0372571	hypothetical protein
MtrunA17Chr8g0372581	Putative beta-galactosidase
MtrunA17Chr8g0372591	Putative tyrosine N-monooxygenase
MtrunA17Chr8g0372601	Putative peroxidase
MtrunA17Chr8g0372611	40S ribosomal protein S11
MtrunA17Chr8g0372621	hypothetical protein
MtrunA17Chr8g0372631	Putative ubiquitin-conjugating enzyme E2-binding protein
MtrunA17Chr8g0372651	Putative cellular retinaldehyde binding/alpha-tocopherol transport, CRAL/TRIO
MtrunA17Chr8g0372661	Putative thioredoxin-like protein
MtrunA17Chr8g0372671	Putative salicylate carboxymethyltransferase
MtrunA17Chr8g0372681	Putative TIR domain, P-loop containing nucleoside triphosphate hydrolase
MtrunA17Chr8g0372691	hypothetical protein
MtrunA17Chr8g0372701	Putative ATPase, AAA-type, core, AAA-type ATPase domain-containing protein
MtrunA17Chr8g0372711	Putative (+)-abscisic acid 8'-hydroxylase
MtrunA17Chr8g0372721	Putative aldolase-type TIM barrel, pyruvate/Phosphoenolpyruvate kinase-like protein
MtrunA17Chr8g0372731	hypothetical protein
MtrunA17Chr8g0372741	hypothetical protein
MtrunA17Chr8g0372751	hypothetical protein
MtrunA17Chr8g0372761	Putative Zinc finger, RING/FYVE/PHD-type
MtrunA17Chr8g0372771	Putative transcription initiation factor IIE subunit alpha, TFIIEalpha/SarR/Rpc3 HTH
MtrunA17Chr8g0372781	Putative SPX domain-containing protein
MtrunA17Chr8g0372791	hypothetical protein
MtrunA17Chr8g0372801	Putative salicylate carboxymethyltransferase
MtrunA17Chr8g0372811	Putative methyltransferase
MtrunA17Chr8g0372821	Putative methyltransferase
MtrunA17Chr8g0372831	hypothetical protein
MtrunA17Chr8g0372841	hypothetical protein
MtrunA17Chr8g0372851	Putative DDE superfamily endonuclease domain-containing protein
MtrunA17Chr8g0372861	Putative leucine-rich repeat-containing, plant-type, leucine-rich repeat domain, L
MtrunA17Chr8g0372871	Putative phosphatidate phosphatase
MtrunA17Chr8g0372881	Putative phosphatidate phosphatase
MtrunA17Chr8g0372891	hypothetical protein
MtrunA17Chr8g0372901	Putative GTP-binding protein Era
MtrunA17Chr8g0372911	hypothetical protein
MtrunA17Chr8g0372921	hypothetical protein
MtrunA17Chr8g0372931	Putative DnaJ domain-containing protein
MtrunA17Chr8g0372961	Putative histone H5
MtrunA17Chr8g0372981	Putative inorganic diphosphatase
MtrunA17Chr8g0372991	Putative chlorophyllase
MtrunA17Chr8g0373001	Putative transcription factor TUBBY family
MtrunA17Chr8g0373011	hypothetical protein
MtrunA17Chr8g0373021	Putative anaphase-promoting complex subunit 10
MtrunA17Chr8g0373031	Putative aminoacyltransferase, E1 ubiquitin-activating enzyme
MtrunA17Chr8g0373041	hypothetical protein
MtrunA17Chr8g0373051	Putative F-box domain, FBD domain, leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr8g0373061	Putative RNA-directed DNA polymerase
MtrunA17Chr8g0373071	Putative RNA-directed DNA polymerase
MtrunA17Chr8g0373081	hypothetical protein
MtrunA17Chr8g0373091	Putative ribonuclease PH, bacterial-type, PNPase/RNase PH domain-containing protein
MtrunA17Chr8g0373101	Putative transcription factor MYB/SANT family
MtrunA17Chr8g0373111	Putative transcription factor MYB/SANT family
MtrunA17Chr8g0373121	Putative transcription factor MYB/SANT family
MtrunA17Chr8g0373131	Putative transcription factor MYB/SANT family
MtrunA17Chr8g0373141	hypothetical protein
MtrunA17Chr8g0373151	hypothetical protein
MtrunA17Chr8g0373161	Putative polygalacturonase
MtrunA17Chr8g0373171	Putative polygalacturonase
MtrunA17Chr8g0373181	Putative major facilitator, sugar transporter, major facilitator superfamily
MtrunA17Chr8g0373191	Putative major facilitator, sugar transporter, major facilitator superfamily
MtrunA17Chr8g0373201	Putative acylglycerol lipase
MtrunA17Chr8g0373221	hypothetical protein
MtrunA17Chr8g0373231	Putative transcription factor C2C2-GATA family
MtrunA17Chr8g0373251	Putative Late nodulin
MtrunA17Chr8g0373261	Putative transcription factor interactor and regulator CCHC(Zn) family
MtrunA17Chr8g0373271	Putative small GTPase superfamily, ARF/SAR type, P-loop containing nucleoside triphosphate hydrolase
MtrunA17Chr8g0373281	Putative inosine triphosphate pyrophosphatase
MtrunA17Chr8g0373291	Putative amine oxidase, FAD/NAD(P)-binding domain-containing protein
MtrunA17Chr8g0373301	Putative hydroquinone glucosyltransferase
MtrunA17Chr8g0373311	Putative adaptor protein complex, sigma subunit
MtrunA17Chr8g0373321	Putative lysine methyltransferase, S-adenosyl-L-methionine-dependent methyltransferase
MtrunA17Chr8g0373331	Putative transcription factor TUBBY family
MtrunA17Chr8g0373341	Putative transcription factor TUBBY family
MtrunA17Chr8g0373351	Putative transcription factor TUBBY family
MtrunA17Chr8g0373361	Putative transcription factor TUBBY family
MtrunA17Chr8g0373371	Putative vacuolar sorting protein 39/Transforming growth factor beta receptor-associated domain 1
MtrunA17Chr8g0373391	Putative cellular retinaldehyde binding/alpha-tocopherol transport, CRAL/TRIO
MtrunA17Chr8g0373401	hypothetical protein
MtrunA17Chr8g0373411	hypothetical protein
MtrunA17Chr8g0373421	Putative ribonuclease III domain-containing protein
MtrunA17Chr8g0373431	Putative cholesterol monooxygenase (side-chain-cleaving)
MtrunA17Chr8g0373441	Putative cholesterol monooxygenase (side-chain-cleaving)
MtrunA17Chr8g0373451	hypothetical protein
MtrunA17Chr8g0373471	Putative transmembrane protein TauE
MtrunA17Chr8g0373481	Putative nucleotide-binding alpha-beta plait domain-containing protein
MtrunA17Chr8g0373491	Putative U1 small nuclear ribonucleoprotein of 70kDa
MtrunA17Chr8g0373501	Putative protein kinase RLK-Pelle-PERK-1 family
MtrunA17Chr8g0373511	Putative leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr8g0373521	hypothetical protein
MtrunA17Chr8g0373531	Putative major facilitator, sugar transporter, major facilitator superfamily
MtrunA17Chr8g0373541	Putative transcription factor C2H2 family
MtrunA17Chr8g0373551	hypothetical protein
MtrunA17Chr8g0373561	Putative transcription factor GRAS family
MtrunA17Chr8g0373571	Putative transcription factor bZIP family
MtrunA17Chr8g0373581	Putative transcription factor MYB-HB-like family
MtrunA17Chr8g0373591	hypothetical protein
MtrunA17Chr8g0373601	Putative geranylgeranyl diphosphate synthase
MtrunA17Chr8g0373611	hypothetical protein
MtrunA17Chr8g0373631	Putative Coiled-coil domain containing protein
MtrunA17Chr8g0373641	Putative very-long-chain 3-oxoacyl-CoA synthase, Butyrate--CoA ligase
MtrunA17Chr8g0373661	hypothetical protein
MtrunA17Chr8g0373671	Putative polygalacturonate 4-alpha-galacturonosyltransferase
MtrunA17Chr8g0373681	hypothetical protein
MtrunA17Chr8g0373691	Putative calcium binding protein
MtrunA17Chr8g0373701	Putative pectate lyase
MtrunA17Chr8g0373711	Putative protein kinase RLK-Pelle-LysM family
MtrunA17Chr8g0373721	Putative pectate lyase
MtrunA17Chr8g0373731	Putative pectate lyase
MtrunA17Chr8g0373741	hypothetical protein
MtrunA17Chr8g0373751	Putative H(+)-transporting two-sector ATPase
MtrunA17Chr8g0373761	Putative pectate lyase
MtrunA17Chr8g0373771	Putative plant self-incompatibility S1
MtrunA17Chr8g0373781	Putative transcription factor interactor and regulator LIM family
MtrunA17Chr8g0373791	hypothetical protein
MtrunA17Chr8g0373801	Putative transcription factor Homeodomain-TALE-BEL family
MtrunA17Chr8g0373811	Putative chromatin remodeling & transcription regulator BTB-POZ family
MtrunA17Chr8g0373821	Putative histone-lysine N-methyltransferase chromatin remodeling SET family
MtrunA17Chr8g0373831	hypothetical protein
MtrunA17Chr8g0373841	Putative histone-lysine N-methyltransferase transcription factor C2H2 family
MtrunA17Chr8g0373851	hypothetical protein
MtrunA17Chr8g0373861	Putative TMEM220 protein
MtrunA17Chr8g0373871	hypothetical protein
MtrunA17Chr8g0373891	Putative histone-lysine N-methyltransferase
MtrunA17Chr8g0373901	Putative ternary complex factor MIP1, leucine-zipper
MtrunA17Chr8g0373921	hypothetical protein
MtrunA17Chr8g0373931	hypothetical protein
MtrunA17Chr8g0373951	hypothetical protein
MtrunA17Chr8g0373961	Oxygen-evolving enhancer protein 1
MtrunA17Chr8g0373971	hypothetical protein
MtrunA17Chr8g0373991	hypothetical protein
MtrunA17Chr8g0374001	Putative cold-regulated 413 protein
MtrunA17Chr8g0374011	Putative SKP1/BTB/POZ domain, NPH3 domain-containing protein
MtrunA17Chr8g0374021	Putative PPC domain-containing protein
MtrunA17Chr8g0374031	Putative protein kinase RLK-Pelle-WAK-LRK10L-1 family
MtrunA17Chr8g0374041	hypothetical protein
MtrunA17Chr8g0374051	Putative vacuolar protein sorting-associated protein
MtrunA17Chr8g0374061	Putative guanine nucleotide binding protein (G-protein), alpha subunit
MtrunA17Chr8g0374071	Putative molybdenum cofactor sulfurtransferase
MtrunA17Chr8g0374081	Putative oligopeptidase B
MtrunA17Chr8g0374091	Putative molybdenum cofactor sulfurtransferase
MtrunA17Chr8g0374101	Putative triacylglycerol lipase
MtrunA17Chr8g0374111	Putative transcription factor C2C2-Dof family
MtrunA17Chr8g0374121	Putative protein Line
MtrunA17Chr8g0374131	hypothetical protein
MtrunA17Chr8g0374141	Putative carboxylesterase
MtrunA17Chr8g0374151	hypothetical protein
MtrunA17Chr8g0374161	Putative ubiquitin
MtrunA17Chr8g0374171	Putative ubiquitin
MtrunA17Chr8g0374181	Putative nucleic acid-binding protein
MtrunA17Chr8g0374191	Putative xenobiotic-transporting ATPase
MtrunA17Chr8g0374211	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr8g0374231	Putative xyloglucan:xyloglucosyl transferase
MtrunA17Chr8g0374241	Putative xyloglucan:xyloglucosyl transferase
MtrunA17Chr8g0374251	Putative transcription factor C2C2-Dof family
MtrunA17Chr8g0374261	Putative L-ascorbate oxidase
MtrunA17Chr8g0374271	Putative L-ascorbate oxidase
MtrunA17Chr8g0374291	Putative powdery mildew resistance protein, RPW8
MtrunA17Chr8g0374301	Putative powdery mildew resistance protein, RPW8
MtrunA17Chr8g0374311	hypothetical protein
MtrunA17Chr8g0374321	Putative cu(2+)-exporting ATPase
MtrunA17Chr8g0374331	Putative cu(2+)-exporting ATPase
MtrunA17Chr8g0374341	hypothetical protein
MtrunA17Chr8g0374351	Putative P-loop containing nucleoside triphosphate hydrolase, leucine-rich repeat domain, L
MtrunA17Chr8g0374361	hypothetical protein
MtrunA17Chr8g0374371	Putative cu(2+)-exporting ATPase
MtrunA17Chr8g0374381	hypothetical protein
MtrunA17Chr8g0374391	Putative cu(2+)-exporting ATPase
MtrunA17Chr8g0374411	hypothetical protein
MtrunA17Chr8g0374421	hypothetical protein
MtrunA17Chr8g0374431	hypothetical protein
MtrunA17Chr8g0374441	hypothetical protein
MtrunA17Chr8g0374451	hypothetical protein
MtrunA17Chr8g0374461	Putative P-loop containing nucleoside triphosphate hydrolase, leucine-rich repeat domain, L
MtrunA17Chr8g0374471	Putative P-loop containing nucleoside triphosphate hydrolase, leucine-rich repeat domain, L
MtrunA17Chr8g0374481	hypothetical protein
MtrunA17Chr8g0374491	Putative leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr8g0374501	hypothetical protein
MtrunA17Chr8g0374511	Putative P-loop containing nucleoside triphosphate hydrolase, leucine-rich repeat domain, L
MtrunA17Chr8g0374521	Putative Cystatin domain-containing protein
MtrunA17Chr8g0374531	Putative P-loop containing nucleoside triphosphate hydrolase, leucine-rich repeat domain, L
MtrunA17Chr8g0374541	Putative P-loop containing nucleoside triphosphate hydrolase, leucine-rich repeat domain, L
MtrunA17Chr8g0374551	Putative powdery mildew resistance protein, RPW8
MtrunA17Chr8g0374561	Putative powdery mildew resistance protein, RPW8
MtrunA17Chr8g0374571	Putative protein kinase CAMK-OST1L family
MtrunA17Chr8g0374581	Putative transcription factor AS2-LOB family
MtrunA17Chr8g0374591	Putative transcription factor AS2-LOB family
MtrunA17Chr8g0374601	Putative transcription factor AS2-LOB family
MtrunA17Chr8g0374611	Putative ribosomal protein L25
MtrunA17Chr8g0374621	Putative peptidylprolyl isomerase
MtrunA17Chr8g0374631	Putative WEB family protein
MtrunA17Chr8g0374641	Putative anthocyanidin 3-O-glucoside 6''-O-acyltransferase
MtrunA17Chr8g0374651	Putative plant self-incompatibility S1
MtrunA17Chr8g0374661	Putative phosphoserine phosphatase
MtrunA17Chr8g0374671	30S ribosomal protein S14
MtrunA17Chr8g0374681	Putative phosphoserine phosphatase
MtrunA17Chr8g0374691	hypothetical protein
MtrunA17Chr8g0374701	Putative protein kinase CAMK-CDPK family
MtrunA17Chr8g0374711	Putative short-chain dehydrogenase/reductase SDR
MtrunA17Chr8g0374721	Putative transcription factor WD40-like family
MtrunA17Chr8g0374731	hypothetical protein
MtrunA17Chr8g0374741	Putative ternary complex factor MIP1, leucine-zipper
MtrunA17Chr8g0374751	hypothetical protein
MtrunA17Chr8g0374771	Putative encoded peptide
MtrunA17Chr8g0374781	Putative encoded peptide
MtrunA17Chr8g0374791	Putative encoded peptide
MtrunA17Chr8g0374801	Putative encoded peptide
MtrunA17Chr8g0374811	Putative encoded peptide
MtrunA17Chr8g0374821	Putative encoded peptide
MtrunA17Chr8g0374831	Putative encoded peptide
MtrunA17Chr8g0374841	Putative P-loop containing nucleoside triphosphate hydrolase
MtrunA17Chr8g0374851	Putative pentatricopeptide
MtrunA17Chr8g0374861	Putative pentatricopeptide
MtrunA17Chr8g0374871	Putative CTLH/CRA to LisH motif domain-containing protein
MtrunA17Chr8g0374901	Putative UDP-glucuronosyl/UDP-glucosyltransferase
MtrunA17Chr8g0374911	Putative omega-hydroxypalmitate O-feruloyl transferase
MtrunA17Chr8g0374921	hypothetical protein
MtrunA17Chr8g0374931	Putative UDP-glucuronosyl/UDP-glucosyltransferase
MtrunA17Chr8g0374941	Putative UDP-glucuronosyl/UDP-glucosyltransferase
MtrunA17Chr8g0374951	Putative RNA-directed DNA polymerase
MtrunA17Chr8g0374961	hypothetical protein
MtrunA17Chr8g0374971	Putative UDP-glucuronosyl/UDP-glucosyltransferase
MtrunA17Chr8g0374981	Putative cyclin-dependent kinase inhibitor
MtrunA17Chr8g0374991	hypothetical protein
MtrunA17Chr8g0375001	Putative transcription factor B3-Domain family
MtrunA17Chr8g0375011	hypothetical protein
MtrunA17Chr8g0375021	Putative protein WYRD
MtrunA17Chr8g0375031	Putative transcription factor AP2-EREBP family
MtrunA17Chr8g0375041	Putative transcription factor HSF-type-DNA-binding family
MtrunA17Chr8g0375051	hypothetical protein
MtrunA17Chr8g0375061	hypothetical protein
MtrunA17Chr8g0375071	hypothetical protein
MtrunA17Chr8g0375081	Putative zeaxanthin epoxidase
MtrunA17Chr8g0375091	Putative remorin
MtrunA17Chr8g0375101	Putative nucleotide-binding alpha-beta plait domain-containing protein
MtrunA17Chr8g0375121	Putative transcription factor bHLH family
MtrunA17Chr8g0375141	Putative mitogen-activated protein kinase kinase kinase STE-STE11 family
MtrunA17Chr8g0375151	Putative tetratricopeptide-like helical domain, uvrD-like Helicase, ATP-binding protein
MtrunA17Chr8g0375171	Putative DNA-directed RNA polymerase
MtrunA17Chr8g0375181	Putative uvrD-like Helicase, ATP-binding domain, P-loop containing nucleoside triphosphate hydrolase
MtrunA17Chr8g0375191	Putative tetratricopeptide-like helical domain, uvrD-like Helicase, ATP-binding protein
MtrunA17Chr8g0375201	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr8g0375211	Putative H(+)-transporting two-sector ATPase
MtrunA17Chr8g0375221	Putative Zinc finger C2HC domain-containing protein
MtrunA17Chr8g0375231	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr8g0375241	Putative remorin
MtrunA17Chr8g0375251	Putative transcription factor C3H family
MtrunA17Chr8g0375261	hypothetical protein
MtrunA17Chr8g0375271	hypothetical protein
MtrunA17Chr8g0375281	hypothetical protein
MtrunA17Chr8g0375291	Putative proton-dependent oligopeptide transporter family, major facilitator superfamily
MtrunA17Chr8g0375301	Putative glutamate decarboxylase
MtrunA17Chr8g0375311	Putative proton-dependent oligopeptide transporter family, major facilitator superfamily
MtrunA17Chr8g0375321	Putative proton-dependent oligopeptide transporter family, major facilitator superfamily
MtrunA17Chr8g0375331	Putative proton-dependent oligopeptide transporter family, major facilitator superfamily
MtrunA17Chr8g0375341	Putative proton-dependent oligopeptide transporter family, major facilitator superfamily
MtrunA17Chr8g0375351	Putative proton-dependent oligopeptide transporter family, major facilitator superfamily
MtrunA17Chr8g0375361	Putative proton-dependent oligopeptide transporter family, major facilitator superfamily
MtrunA17Chr8g0375381	Putative histone-lysine N-methyltransferase chromatin remodeling SET family
MtrunA17Chr8g0375391	hypothetical protein
MtrunA17Chr8g0375401	hypothetical protein
MtrunA17Chr8g0375411	Putative potassium transporter
MtrunA17Chr8g0375421	Putative potassium channel, voltage-dependent, ERG, cation/H+ exchanger
MtrunA17Chr8g0375441	Putative cation/H+ exchanger, cation/H+ exchanger, CPA1 family
MtrunA17Chr8g0375451	Putative cation/H+ exchanger, cation/H+ exchanger, CPA1 family
MtrunA17Chr8g0375461	Putative cation/H+ exchanger, CPA1 family
MtrunA17Chr8g0375481	hypothetical protein
MtrunA17Chr8g0375491	Putative rmlC-like jelly roll, cation/H+ exchanger, CPA1 family
MtrunA17Chr8g0375501	Putative nonaspanin (TM9SF), major facilitator superfamily domain-containing protein
MtrunA17Chr8g0375511	Putative protein kinase RLK-Pelle-LRR-Xb-1 family
MtrunA17Chr8g0375521	Putative transcription factor C2H2 family
MtrunA17Chr8g0375531	Putative transcription factor GAGA-Binding-like family
MtrunA17Chr8g0375541	Putative ANTH domain-containing protein
MtrunA17Chr8g0375551	hypothetical protein
MtrunA17Chr8g0375561	Putative zinc/iron permease
MtrunA17Chr8g0375571	Putative thebaine 6-O-demethylase
MtrunA17Chr8g0375581	Putative thebaine 6-O-demethylase
MtrunA17Chr8g0375591	Putative thebaine 6-O-demethylase
MtrunA17Chr8g0375601	Putative thebaine 6-O-demethylase
MtrunA17Chr8g0375611	Putative codeine 3-O-demethylase
MtrunA17Chr8g0375621	Putative thebaine 6-O-demethylase
MtrunA17Chr8g0375641	Putative codeine 3-O-demethylase
MtrunA17Chr8g0375651	hypothetical protein
MtrunA17Chr8g0375661	Putative codeine 3-O-demethylase
MtrunA17Chr8g0375671	Putative thebaine 6-O-demethylase
MtrunA17Chr8g0375681	Putative codeine 3-O-demethylase
MtrunA17Chr8g0375691	hypothetical protein
